"usgs_site","catchment_area","Date_rct","pctburn_rct","areaburn_rct","Date_lg","pctburn_lg","areaburn_lg","Event_ID_lg","Event_ID_rct","Incid_Name_lg","Incid_Name_rct","number_fires","total_area_burned","number_wwtp","dominant_lulc"
"USGS-09383400",76.9,2011-05-29,0.520330191203428,40.0133917035437,2011-05-29,0.520330191203428,40.0133917035437,"AZ3360210944920110529","AZ3360210944920110529","WALLOW","WALLOW",1,40,NA,"Evergreen Forest"
"USGS-09400562",1583,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09400568",2172,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09401110",1118.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09401260",2788.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09402450",1.6,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-09403013",5.7,2013-11-06,0.0131273678689841,0.0748259968532093,2013-11-06,0.0131273678689841,0.0748259968532093,"AZ3604911219520131106","AZ3604911219520131106","HORSE THIEF","HORSE THIEF",1,0.1,NA,"Shrub; Scrub"
"USGS-09403043",32.2,2013-11-06,0.384017387809393,12.3653598874624,2013-11-06,0.384017387809393,12.3653598874624,"AZ3604911219520131106","AZ3604911219520131106","HORSE THIEF","HORSE THIEF",1,12.4,NA,"Evergreen Forest"
"USGS-09404343",865.3,1995-07-30,0.00499622167760741,4.32323061763369,1995-07-30,0.00499622167760741,4.32323061763369,"AZ3551711352119950730","AZ3551711352119950730","MUD","MUD",1,4.3,NA,"Shrub; Scrub"
"USGS-09481000",110.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclassified"
"USGS-09508300",97.9,2004-06-24,0.81024826543253,79.3233051858447,2004-06-24,0.81024826543253,79.3233051858447,"AZ3410911149820040624","AZ3410911149820040624","WILLOW","WILLOW",1,79.3,NA,"Shrub; Scrub"
"USGS-09512162",188.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developed; Medium Intensity"
"USGS-09512830",102.9,2008-06-28,0.00248747452143905,0.255961128256078,2008-06-28,0.00248747452143905,0.255961128256078,"AZ3418511231120080628","AZ3418511231120080628","LANE 2","LANE 2",1,0.3,NA,"Shrub; Scrub"
"USGS-09512970",25,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub; Scrub"
"USGS-07204000",207.4,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07204500",189.7,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Evergreen Forest"
"USGS-07205000",29,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-07206000",486.5,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Evergreen Forest"
"USGS-07208500",159.3,2018-06-29,0.0153174574683279,2.44007097470463,2018-06-29,0.0153174574683279,2.44007097470463,"NM3636510508520180629","NM3636510508520180629","MORRIS CREEK","MORRIS CREEK",1,2.4,NA,"Evergreen Forest"
"USGS-07215500",449.9,2020-10-18,0.0881696853509199,39.6675414393789,2020-10-18,0.0881696853509199,39.6675414393789,"NM3626410534020201018","NM3626410534020201018","LUNA","LUNA",1,39.7,1,"Evergreen Forest"
"USGS-07216500",693.4,2020-10-18,0.05720729945108,39.6675414393789,2020-10-18,0.05720729945108,39.6675414393789,"NM3626410534020201018","NM3626410534020201018","LUNA","LUNA",1,39.7,1,"Evergreen Forest"
"USGS-08252500",66.2,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08253000",48.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08253500",6.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08254000",143.3,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08255500",566.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08261000",569.8,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
"USGS-08265000",297.4,1996-05-05,0.0161073824250851,4.79033553322031,1996-05-05,0.0161073824250851,4.79033553322031,"NM3664910559119960505","NM3664910559119960505","HONDO","HONDO",1,4.8,4,"Evergreen Forest"
"USGS-08266820",468.9,1996-05-05,0.0420136869865886,19.7002178280114,1996-05-05,0.0420136869865886,19.7002178280114,"NM3664910559119960505","NM3664910559119960505","HONDO","HONDO",1,19.7,4,"Evergreen Forest"
"USGS-08267500",96.9,1979-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evergreen Forest"
