"usgs_site","CharacteristicName","Date_UTC","mn_value_std","Date","Flow","Flow_cd","catchment_area","pctburn_lg","yrs_lg","post_rct","post_lg"
"USGS-06710247","NO3_NO2",1999-06-10,12.8571428571429,"1999-06-10",924,"A",8017.7,0.0652656380469735,-2.99520876112252,"pre","pre"
"USGS-06710247","NO3_NO2",1999-07-08,9.28571428571429,"1999-07-08",551,"A",8017.7,0.0652656380469735,-2.91854893908282,"pre","pre"
"USGS-06710247","NO3_NO2",1999-07-19,15.7142857142857,"1999-07-19",732,"A",8017.7,0.0652656380469735,-2.88843258042437,"pre","pre"
"USGS-06710247","NO3_NO2",1999-07-20,3.57142857142857,"1999-07-20",573,"A",8017.7,0.0652656380469735,-2.88569472963723,"pre","pre"
"USGS-06710247","NO3_NO2",1999-08-04,25.7142857142857,"1999-08-04",317,"A",8017.7,0.0652656380469735,-2.84462696783025,"pre","pre"
"USGS-06710247","NO3_NO2",1999-08-05,13.5714285714286,"1999-08-05",739,"A",8017.7,0.0652656380469735,-2.84188911704312,"pre","pre"
"USGS-06710247","NO3_NO2",1999-09-19,89.2857142857143,"1999-09-19",79,"A",8017.7,0.0652656380469735,-2.71868583162218,"pre","pre"
"USGS-06710247","NO3_NO2",1999-10-16,131.428571428571,"1999-10-16",57,"A",8017.7,0.0652656380469735,-2.64476386036961,"pre","pre"
"USGS-06710247","NO3_NO2",2000-03-15,92.8571428571429,"2000-03-15",70,"A",8017.7,0.0652656380469735,-2.23134839151266,"pre","pre"
"USGS-06710247","NO3_NO2",2000-03-16,50,"2000-03-16",135,"A",8017.7,0.0652656380469735,-2.22861054072553,"pre","pre"
"USGS-06710247","NO3_NO2",2000-03-30,62.8571428571429,"2000-03-30",110,"A",8017.7,0.0652656380469735,-2.19028062970568,"pre","pre"
"USGS-06710247","NO3_NO2",2000-03-31,61.0714285714286,"2000-03-31",172,"A",8017.7,0.0652656380469735,-2.18754277891855,"pre","pre"
"USGS-06710247","NO3_NO2",2000-04-01,66.4285714285714,"2000-04-01",151,"A",8017.7,0.0652656380469735,-2.18480492813142,"pre","pre"
"USGS-06710247","NO3_NO2",2000-04-30,27.5,"2000-04-30",402,"A",8017.7,0.0652656380469735,-2.10540725530459,"pre","pre"
"USGS-06710247","NO3_NO2",2000-05-08,20.7142857142857,"2000-05-08",437,"A",8017.7,0.0652656380469735,-2.08350444900753,"pre","pre"
"USGS-06710247","NO3_NO2",2000-05-09,24.2857142857143,"2000-05-09",229,"A",8017.7,0.0652656380469735,-2.0807665982204,"pre","pre"
"USGS-06710247","NO3_NO2",2000-06-17,30.3571428571429,"2000-06-17",209,"A",8017.7,0.0652656380469735,-1.97399041752225,"pre","pre"
"USGS-06710247","NO3_NO2",2000-07-17,30,"2000-07-17",671,"A",8017.7,0.0652656380469735,-1.89185489390828,"pre","pre"
"USGS-06710247","NO3_NO2",2001-04-11,41.4285714285714,"2001-04-11",189,"A",8017.7,0.0652656380469735,-1.15811088295688,"pre","pre"
"USGS-06710247","NO3_NO2",2001-04-12,39.2857142857143,"2001-04-12",207,"A",8017.7,0.0652656380469735,-1.15537303216975,"pre","pre"
"USGS-06710247","NO3_NO2",2002-05-12,142.142857142857,"2002-05-12",40.9,"A",8017.7,0.0652656380469735,-0.0739219712525667,"pre","pre"
"USGS-06710247","NO3_NO2",2002-05-24,83.5714285714286,"2002-05-24",169,"A",8017.7,0.0652656380469735,-0.0410677618069815,"pre","pre"
"USGS-06710247","NO3_NO2",2002-05-25,85,"2002-05-25",104,"A",8017.7,0.0652656380469735,-0.0383299110198494,"pre","pre"
