FIREYEAR_C,gridcode,WShed_Name,TotalArea_sqmet,FireArea_sqkm
1959,16,Upper Redondo - Flume CZO,943636.54340280,0.5400592
1960,16,Upper Redondo - Flume CZO,943636.54340280,0.4353143
2013,16,Upper Redondo - Flume CZO,943636.54340280,0.9436365
1949,1,Indios Creek above Las Conchas burn,8979818.77575196,7.4854948
1960,1,Indios Creek above Las Conchas burn,8979818.77575196,8.9612314
1961,1,Indios Creek above Las Conchas burn,8979818.77575196,5.4221430
2011,1,Indios Creek above Las Conchas burn,8979818.77575196,1.5234856
1913,10,San Antonio above Hot Springs,167762000.45499191,0.1823676
1916,10,San Antonio above Hot Springs,167762000.45499191,10.1362970
1924,10,San Antonio above Hot Springs,167762000.45499191,0.0005282
1937,10,San Antonio above Hot Springs,167762000.45499191,0.1823676
1939,10,San Antonio above Hot Springs,167762000.45499191,0.0005282
1940,10,San Antonio above Hot Springs,167762000.45499191,0.3843095
1943,10,San Antonio above Hot Springs,167762000.45499191,0.0195742
1945,10,San Antonio above Hot Springs,167762000.45499191,9.5623974
1949,10,San Antonio above Hot Springs,167762000.45499191,18.7702406
1956,10,San Antonio above Hot Springs,167762000.45499191,18.7782804
1957,10,San Antonio above Hot Springs,167762000.45499191,18.2551064
1959,10,San Antonio above Hot Springs,167762000.45499191,0.0059524
1960,10,San Antonio above Hot Springs,167762000.45499191,17.1922694
1961,10,San Antonio above Hot Springs,167762000.45499191,27.6164849
1962,10,San Antonio above Hot Springs,167762000.45499191,1.4263438
1973,10,San Antonio above Hot Springs,167762000.45499191,0.4857059
2005,10,San Antonio above Hot Springs,167762000.45499191,7.3665053
2011,10,San Antonio above Hot Springs,167762000.45499191,72.6172649
2013,10,San Antonio above Hot Springs,167762000.45499191,14.6338324
2018,10,San Antonio above Hot Springs,167762000.45499191,5.0943572
2019,10,San Antonio above Hot Springs,167762000.45499191,0.3630238
1925,11,Upper Sulfur Creek,11099772.21334887,0.0005282
1926,11,Upper Sulfur Creek,11099772.21334887,0.0195742
1943,11,Upper Sulfur Creek,11099772.21334887,0.0005282
1960,11,Upper Sulfur Creek,11099772.21334887,0.0705408
2013,11,Upper Sulfur Creek,11099772.21334887,7.0367065
2018,11,Upper Sulfur Creek,11099772.21334887,0.9713133
1910,12,Lower Sulfur Creek,21370816.68328414,0.0195742
1925,12,Lower Sulfur Creek,21370816.68328414,0.0005282
1926,12,Lower Sulfur Creek,21370816.68328414,0.0195742
1932,12,Lower Sulfur Creek,21370816.68328414,0.0005282
1940,12,Lower Sulfur Creek,21370816.68328414,0.0391484
1943,12,Lower Sulfur Creek,21370816.68328414,0.0010565
1948,12,Lower Sulfur Creek,21370816.68328414,0.0005282
1959,12,Lower Sulfur Creek,21370816.68328414,2.4645683
1960,12,Lower Sulfur Creek,21370816.68328414,5.6623818
1963,12,Lower Sulfur Creek,21370816.68328414,0.5533507
2013,12,Lower Sulfur Creek,21370816.68328414,13.5191098
2018,12,Lower Sulfur Creek,21370816.68328414,0.9726499
1944,13,Jaramillo Creek - West Branch,4381719.33818353,0.0195742
1960,13,Jaramillo Creek - West Branch,4381719.33818353,0.1121775
1961,13,Jaramillo Creek - West Branch,4381719.33818353,0.2409865
2013,13,Jaramillo Creek - West Branch,4381719.33818353,4.3817193
1961,14,Upper Jaramillo Creek - Flume CZO,3228555.39953019,0.9600184
2013,14,Upper Jaramillo Creek - Flume CZO,3228555.39953019,3.2285554
1959,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,1.7749454
1960,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,2.0285472
2013,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,2.2803408
1927,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,0.1823676
