TREAT_ID,GRIDCODE,WShed_Name,NAME,NAMELABEL,ACRES,TRT_TYPE,MTRL_ACT,INIT_DT,COMP_DT,YEAR,YEARLABEL,FEAT_SRC,GRND_TRTH,NOTES,PERIMETER,SHAPE_Leng,SHAPE_Area,PUBLICDISP,DATAACCESS,UNITCODE,UNITNAME,GROUPCODE,GROUPNAME,REGIONCODE,CREATEDATE,CREATEUSER,EDITDATE,EDITUSER,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYACCURACY,TAREA_sqkm
TR21,"10",San Antonio above Hot Springs,Seco 8,Seco 8 - 177 ac,177.38840919600,Hand/Mechanical,Haul Out/Cut and Pile,2017/07/06,2017/07/30,"2017","2017",NFPORS downloaded 6/13/19,No,Identical polys for Seco 8 in NFPORS with different treatments,4.01316730473,6458.57964003000,717865.42301599996,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,0.0001090
TR22,"10",San Antonio above Hot Springs,Seco 5,Seco 5 - 112 ac,111.62507869000,Hand/Mechanical,Haul Out/Mechanical Scatter,2017/10/01,2017/12/21,"2017","2017",NFPORS downloaded 6/13/19,No,Identical polys for Seco 5 in NFPORS with different treatments,4.95551081839,7975.13755278000,451730.66659699997,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,0.4517307
TR25,"10",San Antonio above Hot Springs,Seco 4,Seco 4 - 300 ac,299.50676973800,Mechanical,Mechanical Scatter,2016/11/18,2017/07/11,"2017","2017",NFPORS downloaded 6/13/19,No,Multiple polygons for Seco 4 (from NFPORS) merged into one,7.70396664224,12398.35728860000,1212060.89467000007,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,1.0068653
TR31,"10",San Antonio above Hot Springs,Seco 7,Seco 7 - 47 ac,47.03932108370,Hand/Mechanical,Haul Out/Cut and Pile,2018/03/26,2018/04/09,"2018","2018",NFPORS downloaded 6/13/19,No,"Multiple polygons for Seco 7 (from NFPORS) merged into one; Identical polys in NFPORS with different treatments",3.05776897855,4921.01200104000,190361.37863299999,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,0.1903614
TR32,"10",San Antonio above Hot Springs,Valle San Antonio Prep,Valle San Antonio Prep - 2 ac,2.39680686634,Mechanical,Haul Out,2018/04/03,2018/04/03,"2018","2018",NFPORS downloaded 6/13/19,No,,2.55536459527,4112.46890415000,9699.53326029000,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,0.0096995
TR37,"10",San Antonio above Hot Springs,Seco 9,,119.95843329000,Hand,Cut and Pile,1899/12/30,1899/12/30,"2019","2019",Completed_Cut_and_Pile_DEC_2019_Seco_Unit_9_Estimate.shp,Yes,"from J. Quintana, 12/10/19",0.00000000000,4709.91552801000,485454.55618100002,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,2019/12/10,J. Quintana,2019/12/26,M. Shelley,Unknown,Unknown,2019/12/10,Unknown,0.3167840
TR38,"10",San Antonio above Hot Springs,Seco 9,,302.84906708400,Hand,Cut and Pile,1899/12/30,1899/12/30,"2019","2019",Completed_Cut_and_Pile_DEC_2019_Seco_Unit_9_Estimate.shp,Yes,"from J. Quintana, 12/10/19",0.00000000000,6237.84444668000,1225586.69215000002,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,2019/12/10,J. Quintana,2019/12/26,M. Shelley,Unknown,Unknown,2019/12/10,Unknown,0.8556467
TR21,"11",Upper Sulfur Creek,Seco 8,Seco 8 - 177 ac,177.38840919600,Hand/Mechanical,Haul Out/Cut and Pile,2017/07/06,2017/07/30,"2017","2017",NFPORS downloaded 6/13/19,No,Identical polys for Seco 8 in NFPORS with different treatments,4.01316730473,6458.57964003000,717865.42301599996,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,0.7177564
TR25,"11",Upper Sulfur Creek,Seco 4,Seco 4 - 300 ac,299.50676973800,Mechanical,Mechanical Scatter,2016/11/18,2017/07/11,"2017","2017",NFPORS downloaded 6/13/19,No,Multiple polygons for Seco 4 (from NFPORS) merged into one,7.70396664224,12398.35728860000,1212060.89467000007,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,0.2051956
TR26,"11",Upper Sulfur Creek,Seco 3,Seco 3 - 238 ac,237.58728896400,Mechanical,Mechanical Scatter,2017/07/17,2017/08/29,"2017","2017",NFPORS downloaded 6/13/19,No,Multiple polygons for Seco 3 (from NFPORS) merged into one,11.14820246220,17941.32862590000,961481.64622500003,Public Map Display,Unrestricted,VALL,Valles Caldera National Preserve,,,IMR,,,2019/12/20,M. Shelley,Unknown,Unknown,2019/06/13,Unknown,0.9097466
