TYPE,LOCATION_N,ELEV___FT,lat,long,easting,northing,REMARKS,latdeg,latmin,latdd,longdeg,longmin,longdd,usgs_sym,RuleID1,usgs_desc,RuleID,Sub_Basin_,RASTERVALU
CZO flume,LaJara Creek - Flume CZO,8855.00000000000,N 35° 51.98',W 106° 31.267,,,existing,"35",51.98000000000,35.86633300000,"106",31.26700000000,-106.52111700000,26.3.3,"1",Continuous-record water gaging station,"4","1",2696.55615234
CZO flume,LaJara Creek(just below VC0201) - Flume CZO,0.00000000000,N 35° 52.22',W 106° 31.6387',,,existing,"35",52.22000000000,35.87033300000,"106",31.63870000000,-106.52731200000,26.3.3,"1",Continuous-record water gaging station,"4","2",2773.47656250
CZO flume,History Grove - CZO,8798.00000000000,N 35° 52.533',W 106° 30.75',,,existing,"35",52.53300000000,35.87555000000,"106",30.75000000000,-106.51250000000,26.3.3,"1",Continuous-record water gaging station,"4","3",2680.44897461
CZO flume,Lower Jaramillo Creek - Flume CZO,8606.00000000000,N 35° 53.60',W 106° 29.717',,,existing,"35",53.60000000000,35.89333300000,"106",29.71700000000,-106.49528300000,26.3.3,"1",Continuous-record water gaging station,"4","4",2623.49023438
CZO flume,Upper Jaramillo Creek - Flume CZO,8919.00000000000,N 35° 54.567',W 106° 31.80',,,existing,"35",54.56700000000,35.90945000000,"106",31.80000000000,-106.53000000000,26.3.3,"1",Continuous-record water gaging station,"4","5",2721.10839844
CZO flume,Redondo Meadow,8096.00000000000,N 35° 51.267',W 106° 35.633',,,existing,"35",51.26700000000,35.85445000000,"106",35.63300000000,-106.59388300000,26.3.3,"1",Continuous-record water gaging station,"4","6",2466.54321289
CZO flume,Lower Redondo Creek - Flume CZO,8213.00000000000,N 35° 51.95',W 106° 35.867',,,existing,"35",51.95000000000,35.86583300000,"106",35.86700000000,-106.59778300000,26.3.3,"1",Continuous-record water gaging station,"4","7",2500.07421875
CZO flume,Upper Redondo - Flume CZO,8895.00000000000,N 35° 53.567',W 106° 34.567',,,existing,"35",53.56700000000,35.89278300000,"106",34.56700000000,-106.57611700000,26.3.3,"1",Continuous-record water gaging station,"4","8",2709.69897461
CZO flume,ZOB Lower,9822.00000000000,N 35° 52.853',W 106° 32.146',,,existing,"35",52.85300000000,35.88088300000,"106",32.14600000000,-106.53576700000,26.3.3,"1",Continuous-record water gaging station,"4","9",2987.55590820
VCNP flume,LaJara West Branch,8493.00000000000,N 35° 51.079',W 106° 29.914',"0364736","3968267",existing,"35",51.07900000000,35.85131700000,"106",29.91400000000,-106.49856700000,26.3.3,"1",Continuous-record water gaging station,"4","10",2590.55493164
VCNP flume,Jaramillo Creek - West Branch,8896.00000000000,N 35° 54.570',W 106° 31.983',"0361836","3974798",existing,"35",54.57000000000,35.90950000000,"106",31.98300000000,-106.53305000000,26.3.3,"1",Continuous-record water gaging station,"4","11",2724.64599609
VCNP gage site,Jaramillo Creek above EFJ confluence,8486.00000000000,N 35° 51.290',W 106° 28.696',"0366568","3968650",existing,"35",51.29000000000,35.85483300000,"106",28.69600000000,-106.47826700000,26.3.7,"2",Continuous-record stage-measurment water gaging station,"3","12",2589.34448242
VCNP gage site,EFJ above Jaramillo Cr confluence,8486.00000000000,N 35° 51.290',W 106° 28.696',"0366568","3968650",existing,"35",51.29000000000,35.85483300000,"106",28.69600000000,-106.47826700000,26.3.7,"2",Continuous-record stage-measurment water gaging station,"3","13",2589.23242188
VCNP flume,San Luis Creek,8447.00000000000,N 35° 57.960',W 106° 32.741',"0360676","3981075",existing,"35",57.96000000000,35.96600000000,"106",32.74100000000,-106.54568300000,26.3.3,"1",Continuous-record water gaging station,"4","14",2573.27661133
VCNP flume,Santa Rosa Creek,8452.00000000000,N 35° 57.968',W 106° 31.227',"0362882","3981072",existing,"35",57.96800000000,35.96613300000,"106",31.22700000000,-106.52045000000,26.3.3,"1",Continuous-record water gaging station,"4","15",2582.83886719
VCNP gage site,Upper San Antonio - Gauge site,8550.00000000000,N 35° 57.773',W 106° 29.464',"0365596","3980652",existing,"35",57.77300000000,35.96288300000,"106",29.46400000000,-106.49106700000,26.3.7,"2",Continuous-record stage-measurment water gaging station,"3","16",2609.45410156
VCNP flume,Upper Redondo Creek - Flume VCNP,8895.00000000000,N 35° 53.603',W 106° 34.577',"0357786","3973065",existing,"35",53.60300000000,35.89338300000,"106",34.57700000000,-106.57628300000,26.3.3,"1",Continuous-record water gaging station,"4","17",2710.27954102
VCNP flume,Upper Sulfur Creek,8499.00000000000,N 35° 55.440',W 106° 36.124',"0355515","3976499",existing,"35",55.44000000000,35.92400000000,"106",36.12400000000,-106.60206700000,26.3.3,"1",Continuous-record water gaging station,"4","18",2602.95214844
VCNP flume,Mirror Lake Trib,8562.00000000000,N 35° 52.833',W 106° 35.251',"0356750","3971657",existing,"35",52.83300000000,35.88055000000,"106",35.25100000000,-106.58751700000,26.3.3,"1",Continuous-record water gaging station,"4","19",2615.07128906
VCNP flume,Valle Grande Pond Trib,8464.00000000000,N 35° 51.170',W 106° 29.170',"0365852","3968440",existing,"35",51.17000000000,35.85283300000,"106",29.17000000000,-106.48616700000,26.3.3,"1",Continuous-record water gaging station,"4","20",2587.53979492
