"","Stream","Date","Time","Date + Time","Streamflow","Ammonia as N","NH3 DQ","TKN","TKN DQ","Nitrate + Nitrite as N","NO2+NO3 DQ","Phosphate","PO4 DQ","Total Phosphorus","Total Phosphorus Data Qualifier","Chloride","Cl DQ","Sulfate","SO4 DQ","Ion Balance","Color","Color Notes","Alkalinity","Alk DQ","Alk Notes","Carbonate","Bicarbonate","Conductivity","TDS","TDS Notes","TSS","TSS Notes","Fluoride","F DQ","F Notes","pH","Boron","B DQ","B Notes","Calcium","Ca DQ","Ca Notes","Iron","Fe DQ","Magnesium","Mg DQ","Potassium","K DQ","Sodium","Na DQ","Na Notes","Hardness (Ca & Mg)","Hardness Notes","Aluminum","Al DQ","Antimony","Sb DQ","Arsenic","As DQ","As Notes","Barium","Ba DQ","Beryllium","Be DQ","Cadmium","Cd DQ","Chromium","Cr DQ","Cr Notes","Cobalt","Co DQ","Copper","Cu DQ","Lead","Pb DQ","Manganese","Mn DQ","Mn Notes","Molybdenum","Mb DQ","Nickel","Ni DQ","Silicon","Si DQ","Silver","Ag DQ","Strontium","Sr DQ","Thallium","Tl DQ","Uranium","Ur DQ","Ur Notes","Vanadium","V DQ","V Notes","Zinc","Zn DQ","Zn Notes","Selenium","Se DQ","Se Notes","Mercury","Hg DQ","TOC","TOC Data Qualifier","TOC Notes"
"1","Redondo Creek",2005-04-29," 17:30:00",2005-04-29 17:30:00,NA,"<0.1",NA,0.4,NA,"<0.1",NA,NA,NA,0.076,NA,"<10",NA,"12",NA,-4.7,">50",NA,20.4,NA,NA,"0",24.9,90,"132",NA,"22",NA,0.11,NA,NA,7.64,NA,NA,NA,7.29,NA,NA,NA,NA,"<1",NA,"<5",NA,5.42,NA,NA,"18.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Redondo Creek",2005-05-18," 16:40:00",2005-05-18 16:40:00,NA,"<0.1",NA,0.54,NA,"<0.1",NA,NA,NA,0.114,NA,"<10",NA,"<10",NA,16.9,"50",NA,22.6,NA,NA,"0",27.6,80,"110",NA,"26",NA,0.18,NA,NA,7.43,NA,NA,NA,8.1,NA,NA,NA,NA,"<1",NA,"<5",NA,5.32,NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Redondo Creek",2005-06-01," 16:30:00",2005-06-01 16:30:00,NA,"<0.1",NA,0.6,NA,"<0.1",NA,NA,NA,0.131,NA,"<10",NA,"<10",NA,NA,"30",NA,21.8,NA,NA,"0",26.6,65.6,"92",NA,"40",NA,0.18,NA,NA,7.54,NA,NA,NA,NA,NA,NA,NA,NA,"<1",NA,"<5",NA,NA,NA,NA,"<6.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Redondo Creek",2005-06-16," 08:15:00",2005-06-16 08:15:00,NA,"<0.1",NA,0.74,NA,"<0.1",NA,NA,NA,0.147,NA,"<10",NA,"20.8",NA,-39,"10",NA,24.2,NA,NA,"0",29.5,61,"96",NA,"53",NA,0.28,NA,NA,7.63,NA,NA,NA,8.06,NA,NA,NA,NA,"<1",NA,"<5",NA,NA,NA,NA,"20.100000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Redondo Creek",2005-06-30," 15:00:00",2005-06-30 15:00:00,NA,"<0.1",NA,0.68,NA,"<0.1",NA,NA,NA,0.2,NA,"<10",NA,"<10",NA,12.2,"10",NA,24.2,NA,NA,"0",29.5,59.3,"92",NA,"47",NA,0.15,NA,NA,7.68,NA,NA,NA,8.02,NA,NA,NA,NA,"<1",NA,"<5",NA,5.02,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Redondo Creek",2005-07-14," 14:00:00",2005-07-14 14:00:00,NA,"<0.1",NA,0.57,NA,"<0.1",NA,NA,NA,0.17,NA,"<10",NA,"<10",NA,-11,"10",NA,25.4,NA,NA,"0",31,60.9,"90",NA,"61",NA,0.19,NA,NA,7.65,NA,NA,NA,8.2,NA,NA,NA,NA,"<1",NA,"<5",NA,NA,NA,NA,"20.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Redondo Creek",2005-07-28," 08:30:00",2005-07-28 08:30:00,NA,"<0.1",NA,0.46,NA,"<0.1",NA,NA,NA,0.137,NA,"<10",NA,"<10",NA,9.7,"5",NA,27,NA,NA,"0",32.9,64.7,"90",NA,"38",NA,0.2,NA,NA,7.65,NA,NA,NA,8.8,NA,NA,NA,NA,"<1",NA,"<5",NA,4.98,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Redondo Creek",2005-08-11," 16:45:00",2005-08-11 16:45:00,NA,"<0.1",NA,0.4,NA,"<0.1",NA,NA,NA,0.118,NA,"<10",NA,"<10",NA,0.75,"25",NA,27.8,NA,NA,"0",33.9,64.6,"98",NA,"29",NA,0.18,NA,NA,7.77,NA,NA,NA,8.47,NA,NA,NA,NA,"<1",NA,"<5",NA,5.12,NA,NA,"21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Redondo Creek",2005-08-24," 08:15:00",2005-08-24 08:15:00,NA,"<0.1",NA,0.46,NA,"<0.1",NA,NA,NA,0.104,NA,"<10",NA,"<10",NA,11.6,"30",NA,27.6,NA,NA,"0",33.7,68.8,"102",NA,"37",NA,0.173,NA,NA,7.66,NA,NA,NA,9.21,NA,NA,NA,NA,"<1",NA,"<5",NA,5.46,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Redondo Creek",2005-09-08," 08:00:00",2005-09-08 08:00:00,NA,"<0.1",NA,0.611,NA,"<0.1",NA,NA,NA,0.096,NA,"<10",NA,"<10",NA,8.72,"20",NA,30,NA,NA,"0",36.6,71,"96",NA,"28",NA,0.122,NA,NA,7.79,NA,NA,NA,9.62,NA,NA,NA,NA,"<1",NA,"<5",NA,5.4,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
