ID,Crossey_sonde_csv,GIS_ws_name,Grab_bgc_name,notes
EFJBR,East_Fork_Jemez_atBattleshipRock_EFJBR,East Fork Jemez at Battleship Rock,,
EFJ,East_Fork_Jemez_EFJ,East Fork Jemez,East Fork Jemez River,
HGC,History_Grove_Creek,History Grove - VCNP,,
IND,Indios_Creek_IND,Indios above San Antonio confluence,Indios Creek,
JCP,Jaramillo_Cerro_Pinon,Jaramillo Creek below burned areas,,
JRC,Jemez_River_Canon,Jemez River @ USGS Gage - Canon,,
JRSEC,Jemez_River_SciEdCenter,Jemez River @ VCNP SEC,,
LJC,La_Jara_Creek,LaJara Creek - VCNP Sonde,,
LWCEB,Lower_Cebolla_Creek_LWCEB,Rio Cebolla - Lower Site,,
RED,Redondo_Creek_RED,Redondo Creek - Sonde VCNP,Redondo Creek,unsure btw crossye and GIS names
RSA,Rio_San_Antonio_at_Tolido_RSA,San Antonio above Indios confluence,San Antonio Creek - Toledo,
SABR,Rio_San_Antonio_atBattleshipRock_SABR,Rio San Antonio at Battleship Rock,,
RSAW,Rio_San_Antonio_West_RSAW,San Antonio West,San Antonio - West,
UPCEB,Upper_Cebolla_Creek_UPCEB,Rio Cebolla - Upper Site,,
VALL,Vallecitos_Creek,Vallecitos Creek in Paliza Canyon,,
IND_BB,,,Indios Creek - Post Fire (Below Burn),
IND_AB,,,Indios Creek - above burn,
SULF,,,Sulfur Creek,
