Lat,Lon,Site,sitecode,Data
34.43226,-119.78414,Atascadero Creek,NA,Discharge
34.40505027,-119.74021,Arroyo  Burro Creek,NA,Discharge
34.43854,-119.90563,Bell Canyon Creek,NA,Discharge
34.39301245,-119.51413,Carpinteria Creek,NA,Discharge
34.41761,-119.87406,Devereaux Creek,NA,Discharge
34.4855,-120.22917,Gaviota Creek,NA,Discharge
34.4752858,-120.14122,Arroyo Hondo Creek,NA,Discharge
34.40164787,-119.52145,Franklin Creek,NA,Discharge
34.41307303,-119.69499,Mission Creek,NA,Discharge
34.472,-120.28885,San Onofre Creek,NA,Discharge
34.44072,-119.71244,Mission Creek,NA,Discharge
34.3773,-119.47794,Rincon Creek,NA,Discharge
34.40479765,-119.52869,Santa Monica Creek,NA,Discharge
34.46573164,-120.06932,Refugio Creek,NA,Discharge
34.45761111,-119.69222,Rattlesnake Creek,NA,Discharge
34.41898512,-119.52701,Santa Monica Creek,NA,Discharge
34.43055,-119.85762,Tecolotito Creek,NA,Discharge
34.44861,-119.84028,San Pedro Creek,NA,Discharge
34.42374,-119.48104,Carpinteria at Veddar's Ranch,CP201,Precipitation
34.462283,-120.024883,El Capitan State Beach,EL201,Precipitation
34.496117,-120.00785,El Capitan State Beach,EL202,Precipitation
34.48011,-120.22917,Gaviota Canyon,GV201,Precipitation
34.50765,-120.22861,Gaviota Canyon,GV202,Precipitation
34.4245,-119.47089,Gobernador at Vedder's Ranch,GB201,Precipitation
34.47651,-120.14064,Arroyo Hondo Canyon,HO201,Precipitation
34.49059,-120.13678,Arroyo Hondo Canyon,HO202,Precipitation
34.461853,-120.076261,Refugio Canyon,RG201,Precipitation
34.49122,-120.07483,Refugio Canyon,RG202,Precipitation
34.50856,-120.07947,Refugio Canyon,RG203,Precipitation
34.5303,-120.05636,Refugio Canyon,RG204,Precipitation
34.61333,-120.19667,Buellton,BUEL,Precipitation County
34.531666,-120.33777,Rancho San Julian,RASJ,Precipitation County
34.429444,-119.640555,Montecito,MO325,Precipitation County
34.45388,-119.70694,SB Botanic Garden,BOGA,Precipitation County
34.438611,-119.755,SB Caltrans,SBCT,Precipitation County
34.436944,-119.7855,Goleta Water District,GOWD,Precipitation County
34.443055,-119.85361,Goleta Fire Station,GOFS,Precipitation County
34.475,-119.8833,Glen Annie Canyon,GLAN,Precipitation County
34.520823,-119.9088,Tecolote Canyon,TECA,Precipitation County
34.53,-120.0922,Refugio Pass,REPA,Precipitation County
34.47245,-120.22944,Gaviota State Park,GASP,Precipitation County
34.415,-119.8461111,UCSB,UCSB,Precipitation County
34.48972222,-119.8,Trout Club,TRCL,Precipitation County
34.45,-119.6833333,Stanwood Fire Station,STFS,Precipitation County
34.41666667,-119.7,SB Fire Engine Building,SBEB,Precipitation County
34.51111111,-119.8238889,San Marcos Pass,SMPA,Precipitation County
34.53388889,-120.1777778,Nojoqui Fall Park,NO236,Precipitation County
34.422301,-119.691716,KTYD,KTYD,Precipitation County
34.45,-119.7666667,SB County Road Yard,GORY,Precipitation County
34.49166667,-119.6958333,El Deseo,ELDE,Precipitation County
34.44277778,-119.5077778,Edison Trail,EDTR,Precipitation County
34.45694444,-119.5638889,Doulton Tunnel,DOTU,Precipitation County
34.44666667,-119.9516667,Dos Pueblos Ranch,DOPU,Precipitation County
34.45,-119.6166667,Cold Springs Basin,COSP,Precipitation County
34.45416667,-119.7302778,Cater Water Treatment Plant,CAWTP,Precipitation County
34.4,-119.5166667,Carpinteria Fire Station,CARP208,Precipitation County
34.48333333,-120.1291667,Baron Ranch,BARA,Precipitation County
34.40194,-119.49138,Carpinteria Forest Service,CARPUSFS,Precipitation County
34.40505027,-119.74021,Arroyo Burro Creek,ABUR,Stream Chemistry
34.43226,-119.78414,Atascadero Creek,ATAS,Stream Chemistry
34.43854,-119.90563,Bell Canyon Creek,BELL,Stream Chemistry
34.41761,-119.87406,Devereaux Creek,DEVC,Stream Chemistry
34.4855,-120.22917,Gaviota Creek,GAV,Stream Chemistry
34.4752858,-120.14122,Arroyo Hondo Creek,HOND,Stream Chemistry
34.41307303,-119.69499,Mission Creek,MICR,Stream Chemistry
34.472,-120.28885,San Onofre Creek,SOCR,Stream Chemistry
34.46573164,-120.06932,Refugio Creek,REFU,Stream Chemistry
34.45761111,-119.69222,Rattlesnake Creek,RATT,Stream Chemistry
34.44861,-119.84028,San Pedro Creek,SANP,Stream Chemistry
34.440614,-119.917915,Tecolotito Creek,TECO,Stream Chemistry
