site_code,ws_area_m2,fire_name,ig_date,ws_fire_area_m2,fire_perc_ws
EFJ,89814976.63852756,LAS CONCHAS,2011/06/26,33220831,37.0
EFJ,89814976.63852756,THOMPSON RIDGE,2013/05/31,19470689,21.7
RED,13276254.17051292,THOMPSON RIDGE,2013/05/31,12412657,93.5
SULF,21370816.68328414,THOMPSON RIDGE,2013/05/31,10798557,50.5
RSA,50275197.20648122,LAS CONCHAS,2011/06/26,40168365,79.9
RSAW,146211417.72133249,LAS CONCHAS,2011/06/26,62620527,42.8
RSAW,146211417.72133249,THOMPSON RIDGE,2013/05/31,11460843,7.8
AB00,22374000,JESUSITA,2009/05/05,10186211.26,45.5
AT07,9587700,JESUSITA,2009/05/05,2225247.481,23.2
BC02,14641200,GAP,2008/07/01,8527023.625,58.2
GV01,49660200,GAVIOTA,2004/06/05,4386623.994,8.8
HO00,11271600,GAVIOTA,2004/06/05,1925030.109,17.1
MC00,30226500,TEA,2008/11/13,742115.3518,2.5
MC00,30226500,JESUSITA,2009/05/05,13295067.16,44.0
RG01,20504700,SHERPA,2016/06/15,4691238.093,22.9
RS02,5718600,TEA,2008/11/13,533887.0943,9.3
RS02,5718600,JESUSITA,2009/05/05,3911427.614,68.4
SP02,9385200,GAP,2008/07/01,6204027.733,66.1
TO02,13569300,GAP,2008/07/01,3693792.651,27.2
MC06,17011800,JESUSITA,2009-05-05,11764910.925229108,69.2
MC06,17011800,TEA,2008-11-13,742115.3518267219,4.3
