site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,tpc_uM,tpn_uM,tpp_uM,tss_mgperLiter,spec_cond_uSpercm
EL00,2000-10-23T00:00:00,0,0,-999,14.4,0.4,-999,-999,-999,-999,-999
SR06,2000-10-23T00:00:00,0,57.3,-999,66.3,0.4,-999,-999,-999,-999,-999
AT03,2000-10-23T00:00:00,0,10.4,-999,65.9,7.8,-999,-999,-999,-999,-999
SM00,2000-10-26T00:00:00,3.3,56.2,-999,136.8,10.5,-999,-999,-999,-999,-999
CP01,2000-10-26T00:00:00,10.7,475.7,1.4,663.2,8.6,-999,-999,-999,-999,-999
FK00,2000-10-26T00:00:00,27.1,1037.1,80.3,1084.2,82.2,-999,-999,-999,-999,-999
RN01,2000-10-26T00:00:00,0.7,186.1,3.2,227.9,3.1,337.6,29.1,-999,-999,-999
LS00,2000-10-26T00:00:00,0,152.6,2.5,209.6,2.5,255,15.1,-999,-999,-999
SM00,2000-10-26T00:00:00,0,525.7,53.5,571.1,54.3,-999,-999,-999,-999,-999
CP01,2000-10-26T00:00:00,33.3,859.9,37.9,943.6,41.8,553.1,43.8,-999,-999,-999
ME00,2000-10-26T00:00:00,0,63.1,9.2,109.6,11.3,-999,-999,-999,-999,-999
AT03,2000-10-26T00:00:00,1.1,395.6,43.2,494.2,43.7,279.6,29.4,-999,-999,-999
FK00,2000-10-26T00:00:00,12.2,1106.9,106.9,132.1,97.9,1384.3,118.1,-999,-999,-999
JV00,2000-10-26T00:00:00,1.6,28.3,3,163.9,4.5,1778.2,182.8,-999,-999,-999
SY00,2000-11-04T00:00:00,0,67.4,4.5,109.4,6,-999,-999,-999,-999,-999
RN01,2000-11-12T00:00:00,32,236.1,0.5,289.2,1.5,-999,-999,-999,-999,-999
LS00,2000-11-12T00:00:00,2.3,166.4,0.4,201.6,1.9,-999,-999,-999,-999,-999
SM00,2000-11-12T00:00:00,0.5,206.4,12.6,231.3,14.5,-999,-999,-999,-999,650
CP01,2000-11-12T00:00:00,2.3,848.6,0.7,94.3,1.5,-999,-999,-999,-999,1428
FK00,2000-11-12T00:00:00,220.4,3243.6,70,390.6,69.6,-999,-999,-999,-999,-999
JV00,2000-11-12T00:00:00,0,0,0.8,176.3,2,-999,-999,-999,-999,-999
ON00,2000-11-12T00:00:00,0,14.7,0.1,9.5,1.4,-999,-999,-999,-999,-999
