site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,tpc_uM,tpn_uM,tpp_uM,tss_mgperLiter,spec_cond_uSpercm
RG01,2000-10-23T00:00:00,0.6,112,-999,137.7,0.7,-999,-999,-999,-999,-999
AB00,2000-10-23T00:00:00,0.3,92.4,-999,-999,-999,-999,-999,-999,-999,-999
RG01,2000-10-26T00:00:00,0,241.5,-999,300.3,1.5,-999,-999,-999,-999,-999
AB00,2000-10-26T00:00:00,11.9,66.2,-999,103.6,1.7,-999,-999,-999,-999,-999
AB00,2000-10-26T00:00:00,2.1,56.6,19.6,127.9,26.2,-999,-999,-999,-999,-999
MC06,2000-11-04T00:00:00,0.5,0.4,1.1,14.4,2.5,-999,-999,-999,-999,-999
MC00,2000-11-04T00:00:00,0,121.6,2.7,154.7,3.1,-999,-999,-999,-999,-999
AB00,2000-11-12T00:00:00,15,77.1,0.7,125.8,1.6,-999,-999,-999,-999,2067
HO00,2000-11-12T00:00:00,0,0,0.1,22.1,0.8,-999,-999,-999,-999,-999
AB00,2000-11-18T00:00:00,11.9,83.6,1.4,121.7,1.2,-999,-999,-999,-999,2041
RG01,2000-11-18T00:00:00,0.1,204.6,1.3,221,0.3,-999,-999,-999,-999,2643
HO00,2000-11-18T00:00:00,0.4,19.3,1.4,22.3,0.2,-999,-999,-999,-999,1024
AB00,2000-11-29T00:00:00,1.4,76.5,1.6,104.3,1.8,-999,-999,-999,-999,-999
MC00,2000-11-29T00:00:00,0,149.9,2,151.6,1.9,-999,-999,-999,-999,-999
RG01,2000-12-03T00:00:00,0.1,252.9,3.2,267,1.1,-999,-999,-999,-999,-999
HO00,2000-12-03T00:00:00,0,0.1,2.8,18.1,0.8,-999,-999,-999,-999,-999
AB00,2000-12-12T00:00:00,0,168.7,1.7,212.5,1,-999,-999,-999,-999,-999
MC00,2000-12-12T00:00:00,1.5,19.3,2.7,134.3,1.7,-999,-999,-999,-999,-999
AB00,2001-01-01T00:00:00,2.3,71.7,0.5,96.8,0.6,-999,-999,-999,-999,-999
MC00,2001-01-01T00:00:00,0.9,118.9,1.6,138.3,1.4,-999,-999,-999,-999,-999
HO00,2001-01-01T00:00:00,0.4,14.8,0.7,17.9,2,-999,-999,-999,-999,-999
RG01,2001-01-01T00:00:00,1.3,268.9,0.7,316,1.1,-999,-999,-999,-999,-999
RG01,2001-01-08T00:00:00,8.4,393.2,2.7,448.7,1.3,-999,-999,-999,-999,-999
HO00,2001-01-08T00:00:00,9.1,18.3,1.9,-999,-999,-999,-999,-999,-999,-999
MC00,2001-01-08T00:00:00,6.4,104.9,6.4,270.8,15,-999,-999,-999,-999,-999
AB00,2001-01-08T00:00:00,12.6,105.9,11.2,270,16.9,-999,-999,-999,-999,-999
MC00,2001-01-10T00:00:00,19,25.9,6.4,63.1,6.7,-999,-999,-999,-999,-999
AB00,2001-01-10T00:00:00,14.4,34.9,21.9,79.3,15.1,-999,-999,-999,-999,-999
MC00,2001-01-11T00:00:00,2.7,118.6,9.1,185.6,10.6,-999,-999,-999,-999,373
AB00,2001-01-11T00:00:00,4.1,165.7,6.5,246.3,20.9,-999,-999,-999,-999,622
RG01,2001-01-11T00:00:00,0.2,220.2,2.7,301.6,4.2,-999,-999,-999,-999,-999
AB00,2001-01-12T00:00:00,1.6,97.9,18.8,144.7,17.6,-999,-999,-999,-999,-999
AB00,2001-01-13T00:00:00,7.4,131.8,5.5,171.9,2.3,-999,-999,-999,-999,1611
MC00,2001-01-15T00:00:00,63.5,197.2,6.7,284.2,7.9,-999,-999,-999,-999,-999
MC06,2001-01-15T00:00:00,0,12.3,2.3,22.4,1.4,-999,-999,-999,-999,-999
MC00,2001-01-24T05:52:00,2,29.4,4.7,60.4,6.2,-999,-999,-999,-999,192
MC00,2001-01-24T01:57:00,0,71.6,3.7,166.1,8.8,-999,-999,-999,-999,158
MC00,2001-01-24T10:12:00,0.1,41.4,5.5,72.8,6.2,-999,-999,-999,-999,402
AB00,2001-01-24T05:33:00,5.7,33.5,10.4,75.9,16.7,-999,-999,-999,-999,305
AB00,2001-01-24T01:36:00,5.6,76.6,2.2,121,0.6,-999,-999,-999,-999,-999
AB00,2001-01-24T09:54:00,4.7,38.7,9,82.9,12.1,-999,-999,-999,-999,474
AB00,2001-01-26T02:06:00,9.7,65.6,2.9,80.1,3.5,-999,-999,-999,-999,1864
AB00,2001-01-26T03:00:00,0,46.8,6.1,84.2,18.5,-999,-999,-999,-999,549
AB00,2001-01-26T04:05:00,4.7,22.4,18.8,58.5,17.9,-999,-999,-999,-999,255
AB00,2001-01-26T05:00:00,5.4,30.3,15.3,74.7,18.5,-999,-999,-999,-999,334
AB00,2001-01-26T07:10:00,4.7,37.9,9.9,92.4,14.4,-999,-999,-999,-999,454
RG01,2001-01-30T00:00:00,0.8,220.6,0.7,246.4,2.3,-999,-999,-999,-999,-999
HO00,2001-01-30T00:00:00,0,1,0,5.6,2.1,-999,-999,-999,-999,-999
AB00,2001-02-04T13:45:00,16.4,105.8,2,154.1,2.3,-999,-999,-999,-999,2505
MC00,2001-02-04T13:10:00,0,133,2.7,151.5,5.3,-999,-999,-999,-999,-999
RG01,2001-02-09T13:10:00,0.2,203.9,2.6,243.1,2,-999,-999,-999,-999,1772
RG01,2001-02-09T17:20:00,0.1,201.2,2.6,253.8,2.3,-999,-999,-999,-999,-999
MC00,2001-02-11T08:35:00,5.5,46.3,5.3,86.6,2.8,-999,-999,-999,-999,-999
AB00,2001-02-11T08:10:00,5,45.9,8.5,85,5.3,-999,-999,-999,-999,-999
RG01,2001-02-11T10:50:00,0,201.8,2.4,215.6,1.6,-999,-999,-999,-999,-999
RG01,2001-02-11T13:20:00,0.5,182.1,2.5,196.1,2.3,114.6,12.8,1.3,-999,-999
