site_code,Year,Month,mean_nh4_uM,cum_Q_L,c_x_Q,cum_nh4_storms,cum_Q_storms,vwm_monthly
AB00,2000,10,4.766666666666667,NA,NA,0,0,NA
AB00,2000,11,9.433333333333334,NA,NA,0,0,NA
AB00,2000,12,0.25,NA,NA,0,0,NA
AB00,2001,1,5.939285714285714,NA,NA,0,0,NA
AB00,2001,2,5.035714285714286,NA,NA,0,0,NA
AB00,2001,3,2.9,NA,NA,0,0,NA
AB00,2001,4,0.25,NA,NA,0,0,NA
AB00,2001,5,6.85,NA,NA,0,0,NA
AB00,2001,6,5,NA,NA,0,0,NA
AB00,2001,7,4.75,NA,NA,0,0,NA
AB00,2001,8,3.7,NA,NA,0,0,NA
AB00,2001,9,NA,NA,NA,0,0,NA
AB00,2001,10,9.13125,NA,NA,0,0,NA
AB00,2001,11,13.96875,11841949.440000001,165417231.24,821111040,96300000,9.122530861970006
AB00,2001,12,6.8,94993119.36,645953211.648,364445790,55300000,6.722856015968181
AB00,2002,1,14.9,70502304.96,1050484343.9039999,770001910,49900000,15.120028262821057
AB00,2002,2,9.65,80052166.08,772503402.672,0,0,9.65
AB00,2002,3,5.9,79088434.56,466621763.90400004,8333520,10400000,5.307448792006224
AB00,2002,4,6.22,159375790.08,991317414.2976,0,0,6.22
AB00,2002,5,3.5,160599576.96,562098519.36,0,0,3.5
AB00,2002,6,1.4666666666666668,67354070.4,98785969.92000002,0,0,1.4666666666666668
AB00,2002,7,0.25,27509518.08,6877379.52,0,0,0.25
AB00,2002,8,1.6500000000000001,34933083.84,57639588.33600001,0,0,1.6500000000000001
AB00,2002,9,1.35,25778079.36,34800407.136,0,0,1.35
AB00,2002,10,1.6500000000000001,30627987.84,50536179.936000004,0,0,1.6500000000000001
AB00,2002,11,10.816666666666666,61772353.92,668170961.568,3436128000.0000005,410000000,8.699744543030132
AB00,2002,12,5.735714285714286,106760090.88,612345378.4045714,1130557200,479000000,2.975454636703179
AB00,2003,1,6.82,34663394.88,236404353.08160004,0,0,6.82
AB00,2003,2,4.757692307692308,55446880.32,263799195.984,253338400,152000000,2.492867548484134
AB00,2003,3,8.3,67617400.32,561224422.656,271107900,483000000,1.5116346162912342
AB00,2003,4,5,115470360,577351800,133331580,83400000,3.573601314947084
AB00,2003,5,1.5416666666666667,171947992.32,265086488.16,164444800,118000000,1.4814080439844861
AB00,2003,6,1.25,124358915.52,155448644.4,0,0,1.25
AB00,2003,7,0.8666666666666667,50354231.04,43640333.568,0,0,0.8666666666666668
AB00,2003,8,0.75,24409477.44,18307108.080000002,0,0,0.75
AB00,2003,9,0.8,32039521.92,25631617.536000002,0,0,0.8
AB00,2003,10,3.17,2627925.12,8330522.6304,0,0,3.17
AB00,2003,11,10.902777777777779,NA,NA,0,0,NA
AB00,2003,12,10.594444444444445,23679207.36,250868046.864,359446140,137700000,3.781863827739152
AB00,2004,1,4.844444444444444,126996491.52,615227447.808,0,0,4.844444444444444
AB00,2004,2,5.4,29435469.12,158951533.24800003,3080010840,427600000,7.086894983193465
AB00,2004,3,1.9833333333333334,49040000.64,97262667.936,82778440,29800000,2.283626413933017
AB00,2004,4,1.02,53269488,54334877.76,0,0,1.02
AB00,2004,5,3.016666666666667,25168112.64,75923806.46400002,0,0,3.016666666666667
AB00,2004,6,4.05,113017524.48,457720974.144,0,0,4.05
AB00,2004,7,1.3,93051210.24,120966573.31199999,0,0,1.3
AB00,2004,8,1,134006296.32,134006296.32,0,0,1
AB00,2004,9,1.4333333333333333,121688611.2,174420342.72,0,0,1.4333333333333333
AB00,2004,10,13.833333333333334,25601279.04,354151026.72,2367780920,230600000,10.62419343462775
AB00,2004,11,6.32,29671928.64,187526589.00480002,0,0,6.32
AB00,2004,12,2.6500000000000004,25128100.8,66589467.12000001,2231623020,1054900000,2.1279191582308505
AB00,2005,1,4.585714285714285,497375259.84,2280820834.4091425,3451248270.0000005,3089700000,1.5979784892120774
AB00,2005,2,4.84,245490946.56,1188176181.3504,2332197400,1460400000,2.063656875868519
AB00,2005,3,8.96923076923077,487270192.32,4370438801.885538,526105500,282500000,6.3610469082050445
AB00,2005,4,14.5,242054326.08,3509787728.1600003,55556250,62500000,11.706758607078394
AB00,2005,5,14.216666666666667,121170712.32,1722643626.816,588332360,46900000,13.750021969419592
AB00,2005,6,1.35,69717188.16,94118204.016,0,0,1.35
AB00,2005,7,2,59586261.12,119172522.24,0,0,2
AB00,2005,8,2.25,39478034.88,88825578.48,0,0,2.25
AB00,2005,9,1.8,33705927.36,60670669.248,0,0,1.8
AB00,2005,10,1.4,89338792.32,125074309.24799998,0,0,1.4
AB00,2007,9,30.849999999999998,NA,NA,0,0,NA
AB00,2007,10,2.1,NA,NA,0,0,NA
AB00,2007,11,2.1,172376242.56,361990109.37600005,0,0,2.1
AB00,2008,1,2.133035714285714,1322396210.8799999,2820718346.2431426,852757800,461000000,2.0598205400641176
AB00,2008,2,12.2,271657990.08,3314227478.976,48330820,66700000,9.937871714455362
AB00,2008,3,4.766666666666667,177213977.28,844719958.368,0,0,4.766666666666667
AB00,2008,4,3.433333333333333,108445374.72,372329119.872,0,0,3.433333333333333
AB00,2008,5,4.4,133759054.08,588539837.952,0,0,4.4
AB00,2008,6,2.3,121448998.08,279332695.584,0,0,2.3
AB00,2008,7,1.1,128661117.12,141527228.83200002,0,0,1.1
AB00,2008,8,1.4,63242294.4,88539212.16,0,0,1.4
AB00,2008,9,1,52719448.32,52719448.32,0,0,1
AB00,2008,10,0.7,85281128.64,59696790.04799999,0,0,0.7
AB00,2008,11,8.166666666666666,105594278.39999999,862353273.5999999,45001600,57400000,5.566789721129254
AB00,2008,12,6.016666666666667,104318651.52,627650553.3119999,771111839.9999999,84800000,7.396215984355597
AB00,2009,1,10.766666666666667,79522344,856190570.4000001,11111760.000000002,41400000,7.172390988385075
AB00,2009,2,8.991666666666667,121561482.24,1093040327.808,168333400,230000000,3.587917879316767
AB00,2009,3,1.50625,120378908.16,181320730.416,107221400.00000001,23000000,2.0124447460152846
AB00,2009,4,0.95,128078936.64,121674989.808,0,0,0.95
AB00,2009,5,1.075,88260900.48,94880468.016,0,0,1.075
AB00,2009,6,1.25,85869331.2,107336664,0,0,1.25
AB00,2009,7,1.9833333333333334,17052050.88,33819900.912,0,0,1.9833333333333334
AB00,2009,8,2.7,101620560.96000001,274375514.59200007,0,0,2.7000000000000006
AB00,2009,9,0.25,102786408,25696602,0,0,0.25
AB00,2009,10,2.001785714285714,11556120.96,23132877.850285713,0,0,2.001785714285714
AB00,2009,11,2.3,50191764.48,115441058.30399999,0,0,2.3
AB00,2009,12,8.35,66376592.64,554244548.544,4831668610,224700000,18.50342244869285
