site_code,Year,Month,mean_no3_uM,cum_Q_L,c_x_Q,cum_no3_storms,cum_Q_storms,vwm_monthly
AB00,2000,10,71.73333333333333,NA,NA,0,0,NA
AB00,2000,11,79.06666666666666,NA,NA,0,0,NA
AB00,2000,12,168.7,NA,NA,0,0,NA
AB00,2001,1,68.55,NA,NA,0,0,NA
AB00,2001,2,50.85142857142857,NA,NA,0,0,NA
AB00,2001,3,78.21363636363637,NA,NA,0,0,NA
AB00,2001,4,70,NA,NA,0,0,NA
AB00,2001,5,108.6,NA,NA,0,0,NA
AB00,2001,6,126.4,NA,NA,0,0,NA
AB00,2001,7,114.80000000000001,NA,NA,0,0,NA
AB00,2001,8,109.5,NA,NA,0,0,NA
AB00,2001,9,113.8,NA,NA,0,0,NA
AB00,2001,10,174.1125,NA,NA,0,0,NA
AB00,2001,11,70.65,11841949.440000001,836633727.9360001,8004492000,96300000,81.7548210820935
AB00,2001,12,119.55,51126828.480000004,6112212344.784,5571415000,96900000,78.9291202463517
AB00,2002,1,101.61428571428571,65995534.08,6706089055.872,2854280000,49900000,82.49126363465135
AB00,2002,2,116.57499999999999,80052166.08,9332081260.776,0,0,116.57499999999999
AB00,2002,3,58.449999999999996,79088434.56,4622719000.032,1078688000,10400000,63.711104435616576
AB00,2002,4,57.26,159375790.08,9125857739.9808,0,0,57.26
AB00,2002,5,39.8,160599576.96,6391863163.007999,0,0,39.8
AB00,2002,6,57.86666666666667,67354070.4,3897555540.4800005,0,0,57.86666666666667
AB00,2002,7,52.4,27509518.08,1441498747.392,0,0,52.4
AB00,2002,8,40.55,34933083.84,1416536549.7120001,0,0,40.55
AB00,2002,9,43.3,25778079.36,1116190836.2879999,0,0,43.3
AB00,2002,10,79.05000000000001,30627987.84,2421142438.7520003,0,0,79.05000000000001
AB00,2002,11,82.16666666666666,61772353.92,5075628413.759999,28220300000,410000000,70.57626021766866
AB00,2002,12,82.77142857142857,106760090.88,8836685236.553143,38166450000,479000000,80.242979964612
AB00,2003,1,88.36,34663394.88,3062857571.5968003,0,0,88.36
AB00,2003,2,99.56666666666666,36536227.2,3637790354.88,8601091000,169100000,59.51714598895346
AB00,2003,3,63.150000000000006,67617400.32,4270038830.2079997,42190050000,483000000,84.3781704014566
AB00,2003,4,86.5,115470360,9988186140,2361888000,83400000,62.101130304184096
AB00,2003,5,45.75,171947992.32,7866620648.639999,4211419999.9999995,118000000,41.6558864643219
AB00,2003,6,84.05,124358915.52,10452366849.456,0,0,84.05
AB00,2003,7,56.93333333333334,50354231.04,2866834220.544,0,0,56.93333333333334
AB00,2003,8,55.25,24409477.44,1348623628.5600002,0,0,55.25000000000001
AB00,2003,9,44.05,32039521.92,1411340940.576,0,0,44.05
AB00,2003,10,125.78,2627925.12,330540421.59360003,0,0,125.78
AB00,2003,11,62.922222222222224,NA,NA,0,0,NA
AB00,2003,12,106.58888888888889,23679207.36,2523940402.272,8296398000,137700000,67.04914827183595
AB00,2004,1,100.66666666666667,111338435.52,11208069175.68,1653044000,12400000,103.9379003107021
AB00,2004,2,85.4,29435469.12,2513789062.848,44887391000,427600000,103.71444508260313
AB00,2004,3,72.2,49040000.64,3540688046.208,1156836000,29800000,59.58300365391778
AB00,2004,4,68.44,53269488,3645763758.72,0,0,68.44
AB00,2004,5,44.5,25168112.64,1119981012.48,0,0,44.5
AB00,2004,6,74.45,113017524.48,8414154697.536,0,0,74.45
AB00,2004,7,403,93051210.24,37499637726.72,0,0,403.00000000000006
AB00,2004,8,14.725,134006296.32,1973242713.3119998,0,0,14.725
AB00,2004,9,45.666666666666664,121688611.2,5557113244.8,0,0,45.666666666666664
AB00,2004,10,43.96666666666667,25601279.04,1125602901.792,12223384000,230600000,52.10351389271503
AB00,2004,11,82.56,29671928.64,2449714428.5184,0,0,82.56
AB00,2004,12,68.4,25128100.8,1718762094.7200003,90680783000,1054900000,85.55290832366092
AB00,2005,1,114.07857142857144,497375259.84,56739859106.461716,289862485000,3089700000,96.62533373273071
AB00,2005,2,91.86,245490946.56,22550798351.0016,98526156000,1460400000,70.97578810366414
AB00,2005,3,96.0923076923077,487270192.32,46822917249.703384,17748610000,282500000,83.88416165491175
AB00,2005,4,103.60000000000001,242054326.08,25076828181.888004,2483750000,62500000,90.49478474539356
AB00,2005,5,93.25,121170712.32,11299168923.84,3800776000.0000005,46900000,89.84280910936049
AB00,2005,6,106.375,69717188.16,7416165890.5199995,0,0,106.375
AB00,2005,7,103.55,59586261.12,6170157338.976,0,0,103.55
AB00,2005,8,116.45,39478034.88,4597217161.776,0,0,116.44999999999999
AB00,2005,9,124.9,33705927.36,4209870327.264,0,0,124.9
AB00,2005,10,147.2,89338792.32,13150670229.503998,0,0,147.2
AB00,2007,9,84.65,NA,NA,0,0,NA
AB00,2007,10,75.6,NA,NA,0,0,NA
AB00,2007,11,91.05000000000001,172376242.56,15694856885.088001,0,0,91.05000000000001
AB00,2008,1,123.93571428571428,1322396210.8799999,163892118964.13483,39830400000,461000000,114.23289884843362
AB00,2008,2,48.2,271657990.08,13093915121.856,1714190000,66700000,43.76460895265051
AB00,2008,3,58.199999999999996,177213977.28,10313853477.696,0,0,58.199999999999996
AB00,2008,4,52.666666666666664,108445374.72,5711456401.92,0,0,52.66666666666667
AB00,2008,5,47.1,133759054.08,6300051447.168,0,0,47.1
AB00,2008,6,35.5,121448998.08,4311439431.84,0,0,35.5
AB00,2008,7,33.1,128661117.12,4258682976.6720004,0,0,33.1
AB00,2008,8,40.1,63242294.4,2536016005.44,0,0,40.1
AB00,2008,9,39.9,52719448.32,2103505987.968,0,0,39.9
AB00,2008,10,49.9,85281128.64,4255528319.1359997,0,0,49.9
AB00,2008,11,51.63333333333333,105594278.39999999,5452184574.719999,2639826000,57400000,49.645979319971026
AB00,2008,12,54.68333333333334,104318651.52,5704491593.952001,5931760000,84800000,61.528841816648765
AB00,2009,1,67.43333333333334,79522344,5362456730.400001,3034206000.0000005,41400000,69.43847144081164
AB00,2009,2,47.40833333333333,121561482.24,5763027270.528,5031620000,230000000,30.70486334779654
AB00,2009,3,27.975,120378908.16,3367599955.776,390540000,23000000,26.211246856352126
AB00,2009,4,53.166666666666664,128078936.64,6809530131.36,0,0,53.166666666666664
AB00,2009,5,34.25,88260900.48,3022935841.44,0,0,34.25
AB00,2009,6,63.65,85869331.2,5465582930.88,0,0,63.65
AB00,2009,7,43.86666666666667,17052050.88,748016631.936,0,0,43.86666666666667
AB00,2009,8,34.9,101620560.96000001,3546557577.504,0,0,34.9
AB00,2009,9,33.7,102786408,3463901949.6000004,0,0,33.7
AB00,2009,10,66.73103448275862,11556120.96,771151906.2686896,0,0,66.73103448275862
AB00,2009,11,65.7,50191764.48,3297598926.336,0,0,65.7
AB00,2009,12,48.15,66376592.64,3196032935.6159997,10853658000,224700000,48.26802048281666
AB00,2010,1,33.75,84390863.04,2848191627.6000004,32430480000,652000000,47.90753579146962
AB00,2010,2,52.56428571428572,634861566.72,33371044782.089146,0,0,52.56428571428572
AB00,2010,3,48.333333333333336,215693305.92,10425176452.8,0,0,48.333333333333336
AB00,2010,4,39.55,146691060.48000002,5801631441.984,3177503000,93100000,37.445659667254
AB00,2010,5,22.025,190839032.64000002,4203229693.896,0,0,22.025
AB00,2010,6,49.6,29969861.76,1486505143.2960002,0,0,49.60000000000001
