"","site","nhdplus_comid","event_id","sampling_point_to_stream_m","stream_distance_m","distance_sampling_point_to_fire_km"
"1","bur","17596123","CA3447411972520090505",11.4910535590693,6610.21907453922,6.61021907453922
"2","bur","17596127","CA3447411972520090505",11.4910535590693,6898.61789840933,6.89861789840934
"3","gav",NA,"CA3448712019620040605",20.3970997531082,0,0
"4","hon",NA,"CA3448712019620040605",8.84415514885959,0,0
"5","rat",NA,"CA3447411972520090505",16.1367314366325,0,0
"6","EFJ","17826286","NM3581210654120110626",54.743867836603,2289.13073794008,2.28913073794008
"7","EFJ","17826160","NM3581210654120110626",54.743867836603,6218.38225495019,6.21838225495019
"8","EFJ","17827554","NM3581210654120110626",54.743867836603,5320.75268295327,5.32075268295327
"9","EFJ","17826190","NM3581210654120110626",54.743867836603,5411.74908730973,5.41174908730973
"10","EFJ","17826216","NM3581210654120110626",54.743867836603,5918.20073412189,5.91820073412189
"11","EFJ","17826086","NM3581210654120110626",54.743867836603,9516.5328713856,9.5165328713856
"12","EFJ","17826188","NM3581210654120110626",54.743867836603,6074.16547821531,6.07416547821531
"13","EFJ","17827550","NM3589210662020130531",54.743867836603,4842.30802058773,4.84230802058773
"14","EFJ","17827558","NM3589210662020130531",54.743867836603,5354.533738959,5.354533738959
"15","EFJ","17827556","NM3589210662020130531",54.743867836603,5027.19155299925,5.02719155299925
"16","SA","17825970","NM3581210654120110626",42.5491897466104,9380.24791204743,9.38024791204743
"17","SA","17826016","NM3581210654120110626",42.5491897466104,10619.4502541579,10.6194502541579
"18","SA","17825884","NM3581210654120110626",42.5491897466104,11173.4390192215,11.1734390192215
"19","SA","17826052","NM3581210654120110626",42.5491897466104,12761.0244272764,12.7610244272764
"20","SA","17825904","NM3581210654120110626",42.5491897466104,12813.408994562,12.813408994562
"21","SA","17825952","NM3581210654120110626",42.5491897466104,14884.8699724919,14.8848699724919
"22","SA","17825980","NM3581210654120110626",42.5491897466104,15977.4989086417,15.9774989086417
"23","SA","17826022","NM3581210654120110626",42.5491897466104,16672.757531044,16.672757531044
"24","SA","17826090","NM3589210662020130531",42.5491897466104,10304.1007022177,10.3041007022177
"25","SA","17826026","NM3589210662020130531",42.5491897466104,11166.5202426259,11.1665202426259
"26","Redondo",NA,"NM3589210662020130531",26.0797376989861,0,0
